team,final_elo
SEA,1637.4651923381869
DEN,1622.2313503419875
NE,1615.209320735331
JAX,1604.5261659890168
HOU,1595.8602017995254
SF,1581.9251014988288
LA,1572.865110368469
BUF,1569.5888573398818
CHI,1553.902368544179
LAC,1550.5151463095358
PHI,1546.337075437308
PIT,1531.8874577045053
GB,1524.756105745964
MIN,1523.916370398402
DET,1511.0683921371283
ATL,1502.4927699972188
BAL,1488.3588280775239
CAR,1485.4296178832806
IND,1472.8262177430838
TB,1471.8690369115398
MIA,1465.130241480512
NO,1461.1220397593343
DAL,1460.9610992267433
CIN,1438.3577474828294
KC,1431.3296955531825
CLE,1428.8922951485968
WAS,1423.4220244201292
NYG,1408.168262029195
TEN,1387.3556293367922
NYJ,1383.9762141024462
ARI,1375.2640818387154
LV,1372.9899823206276
