team,pct_make_divisional,pct_make_conf_champ,pct_make_superbowl,pct_win_superbowl
SEA,1.0,0.699,0.4845,0.2639
DEN,1.0,0.6626,0.4052,0.2209
NE,0.6651,0.4024,0.2002,0.1047
JAX,0.6238,0.3076,0.1467,0.0751
CHI,0.622,0.3705,0.1448,0.0593
LA,0.5425,0.2362,0.1011,0.0455
HOU,0.5065,0.2183,0.09,0.0453
PHI,0.525,0.2509,0.0974,0.0419
SF,0.475,0.1852,0.0826,0.0405
BUF,0.3762,0.1422,0.0574,0.026
PIT,0.4935,0.1633,0.0594,0.0243
LAC,0.3349,0.1036,0.0411,0.0192
GB,0.378,0.1097,0.0428,0.0181
CAR,0.4575,0.1485,0.0468,0.0153
